years	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	ann	A-S	DJF	MAM	JJA	SON
1806	1.7	1.5	2.7	6.1	15.4	15.2	17.5	18.2	16.9	8.2	4.2	4.5	9.4	14.9	1.4	8.1	17	9.8
1807	-1	1.5	0.2	6.3	14.2	16	18.9	24.6	14.5	9.7	6.2	0.9	9.4	15.8	1.7	6.9	19.8	10.1
1808	-2.2	-2.5	-4.5	5.5	14.1	17.3	19.6	20.2	15.8	8.6	2.1	-6.5	7.3	15.4	-1.3	5	19	8.8
1809	-6.4	1.9	0.2	5.1	14.5	16.8	18.1	19	14.9	7.1	3.6	2.6	8.1	14.7	-3.7	6.6	18	8.5
1810	-3.7	-2.7	2.6	5.3	12.5	14.2	18.9	18.2	16	7.3	3.5	1.2	7.8	14.2	-1.3	6.8	17.1	8.9
1811	-7.3	-2.2	4.3	8.3	17.3	20.5	20.8	19.1	14.4	12.1	4	0.9	9.4	16.7	-2.8	10	20.1	10.2
1812	-5.4	-1.2	2.5	3.5	13.7	16.5	17.1	16.7	13.1	11.5	1.3	-8.6	6.7	13.4	-1.9	6.6	16.8	8.6
1813	-5.6	2.6	1.2	9.6	13.2	14.6	17.5	16.3	13.6	7.2	3.2	0.4	7.8	14.1	-3.9	8	16.1	8
1814	-5.1	-8.8	-0.5	10.1	10.5	14.4	19.7	17.7	10.9	6.7	3.4	1.1	6.8	13.9	-4.5	6.7	17.3	7
1815	-6	0.8	3.7	7.7	13.1	16.9	15.7	16.5	11.3	8.6	1.6	-4	7.2	13.5	-1.4	8.2	16.4	7.2
1816	-0.4	-2.7	1.7	7.2	11.6	15.7	16.9	16.4	12.9	7.7	2.4	-1.4	7.4	13.5	-2.4	6.8	16.3	7.7
1817	1.1	2.6	2.7	2.8	13.3	17.9	17.5	17.7	14.2	4.6	4.2	-2	8.1	13.9	0.8	6.3	17.7	7.7
1818	-0.4	-0.2	3.7	8.3	12.5	15.9	17.9	15.5	14.1	7.2	3.1	-2.2	8	14	-0.9	8.2	16.4	8.1
1819	-0.2	1.5	3.7	7.6	12.1	17.9	18.7	18.2	14.5	7.9	2.1	-4.8	8.3	14.8	-0.3	7.8	18.3	8.2
1820	-6.7	0.1	1.8	9	14.2	13.8	16.1	19.8	13.1	8.5	1.4	-3.2	7.3	14.3	-3.8	8.3	16.6	7.7
1821	-1	-3.3	1.4	11	13.5	13.4	15.8	17.4	15	9.1	6.4	2.5	8.5	14.4	-2.5	8.6	15.5	10.2
1822	0	2.1	6.4	9.6	14	17.4	20	17.1	12.9	11.2	5	-2.5	9.5	15.2	1.5	10	18.2	9.7
1823	-11.3	-1.6	2.8	6	14	16.7	17.9	18.6	14.3	11.5	4.5	1.4	8	14.6	-5.1	7.6	17.7	10.1
1824	-0.4	1.3	1.2	7.3	12.6	15.4	17.3	17.7	16	9.6	4.4	2.9	8.8	14.4	0.8	7	16.8	10
1825	-1.1	-1.8	-1.1	8.2	13.2	15.8	16.9	17.3	14.1	8	5.2	4.5	8.3	14.3	0	6.8	16.7	9.1
1826	-8.4	-0.8	3	6.8	11.8	17	21.1	20.3	14.2	9.9	2.4	0.8	8.2	15.2	-1.6	7.2	19.5	8.8
1827	-3.1	-8.1	3.4	9.9	15.2	19.1	19.3	17.5	14.1	9.6	-0.2	1.3	8.3	15.9	-3.5	9.5	18.6	7.8
1828	-5.3	-3.4	3.4	10	12.9	16.6	19.6	16.5	13.1	7.4	3.6	0.2	7.9	14.8	-2.5	8.8	17.6	8
1829	-7.3	-5.7	0.2	7.9	11.6	15.3	18.7	16.8	14.6	6.2	-2.1	-11.2	5.5	14.2	-4.3	6.6	16.9	6.2
1830	-9.8	-5.3	1.9	9.5	13.1	18.4	18.3	18.4	13.5	7.4	4.9	0.7	7.6	15.2	-8.8	8.2	18.4	8.6
1831	-6.2	-1.7	1.8	11	12.8	15.8	19.5	17.5	13.1	11.3	1.6	-1.4	8	15	-2.4	8.5	17.6	8.7
1832	-2.4	-1	1.9	6.8	11.1	15.5	15.2	18.4	12.2	8.6	2.4	-1.5	7.3	13.2	-1.6	6.6	16.4	7.7
1833	-4.6	2.7	2.3	5.8	16.7	18.3	16.9	14.2	13.5	7.8	3.4	3.7	8.4	14.2	-1.1	8.3	16.5	8.2
1834	2.1	0.3	2.1	6.8	15.7	18.3	22.6	20.1	15.5	9	3.2	0.8	9.8	16.5	2	8.2	20.3	9.2
1835	-0.5	1.7	2.6	6.7	13.2	16.8	18.6	16.4	15	7.9	-0.7	-2.5	8	14.5	0.7	7.5	17.3	7.4
1836	-2.4	0.8	8	8	9.5	16.6	16.6	15.9	13.4	10.5	1.9	0.8	8.3	13.3	-1.4	8.5	16.4	8.6
1837	-1.9	-2.5	-0.5	6.3	11.3	15.6	15.5	18.4	12	8.6	3.9	-1.5	7.2	13.2	-1.2	5.7	16.5	8.2
1838	-10.5	-5.9	2.6	6.1	13.5	15.7	16.6	15.1	14.9	7.2	0.9	-0.9	6.3	13.7	-6	7.4	15.8	7.7
1839	-1.8	-0.1	-0.6	4.1	13	17.9	19.1	16.4	15.9	9.4	5.2	-2	8.1	14.4	-0.9	5.5	17.8	10.2
1840	-1.7	-1.3	-1.7	6.8	11.3	15.3	17.2	15.9	14.1	6.1	6.1	-8.1	6.7	13.4	-1.7	5.5	16.1	8.8
1841	-2.3	-6	3.6	9.1	15.9	16.3	17.1	17.6	14.4	11.9	4.4	2.7	8.8	15.1	-5.5	9.5	17	10.2
1842	-5.8	-1.5	3	4.7	13.8	15.8	16.9	20.2	14.2	6.5	0.5	2.4	7.6	14.3	-1.5	7.2	17.6	7.1
1843	-0.7	3.6	1.2	7.9	10.9	15.6	17.2	18	11.8	8.3	3.3	3.2	8.4	13.6	1.8	6.7	16.9	7.8
1844	-2.3	-2.3	0.5	7.4	13.1	16	14.9	14.9	13.8	9.6	4.6	-5.2	7.1	13.4	-0.5	7	15.3	9.3
1845	-0.1	-6.8	-4.5	8.2	11.7	17.7	19	16.4	12.5	9.1	5.9	1.6	7.6	14.3	-4	5.1	17.7	9.2
1846	-0.6	1.6	6	9.7	12.3	17.9	20.2	21	14.4	12.6	2.1	-3.2	9.5	15.9	0.9	9.3	19.7	9.7
1847	-3.9	-1.3	1.9	5.9	15.1	14.8	17.9	19.3	12.1	7.4	3.9	-0.9	7.7	14.2	-2.8	7.6	17.3	7.8
1848	-10.6	2.3	5.4	11.5	13.4	19.1	18.6	17.2	13.1	11	3.5	0.7	8.8	15.5	-3.1	10.1	18.3	9.2
1849	-3.2	2	1.3	7.5	14.6	16.7	17.3	16.2	12.2	7.9	2.9	-5	7.6	14.1	-0.2	7.8	16.7	7.7
1850	-8.6	2.8	0	8.4	14.4	18.2	18.3	18.2	12.2	7.9	4.5	0.9	8.1	15	-3.6	7.6	18.2	8.2
1851	-0.8	-0.3	3.4	10.3	10.6	16.1	17.8	17.7	12.6	11.8	1.7	0.2	8.5	14.2	-0.1	8.1	17.2	8.7
1852	2.6	0.9	0.3	4.3	14.7	18.6	20.5	19.4	14.7	8.8	5.2	4	9.5	15.4	1.2	6.4	19.5	9.6
1853	1.2	-1.9	-3.3	4.4	12.4	17.2	19.1	17.6	13.6	9.8	1.6	-5.1	7.3	14.1	1.1	4.5	18	8.3
1854	-1.5	-1.2	2.3	7	14.5	15.4	18.9	16.6	12.9	9.3	0.6	1.6	8.1	14.2	-2.6	7.9	17	7.6
1855	-3.4	-9	0.9	6	12.1	18.1	18.4	18.2	12.8	12	2.5	-7.1	6.9	14.3	-3.6	6.3	18.2	9.1
1856	-0.3	0.5	0	9.9	12.8	17.3	16.5	17	13.2	10.2	-0.2	0.6	8.1	14.5	-2.3	7.6	16.9	7.7
1857	-2.3	-1.2	2.1	8.3	12.7	16.9	18.6	19	14.9	11.8	0.7	2	8.7	15.1	-1	7.7	18.2	9.1
1858	-4	-7.5	0.3	6.6	12.4	19.1	18.6	18	15.2	9.9	-2.4	-1.1	7.2	15	-3.2	6.4	18.6	7.6
1859	0.6	2.9	5.7	7.5	13.2	17.1	21.1	20.2	13	9.4	3	-3.3	9.2	15.4	0.8	8.8	19.5	8.5
1860	0.8	-2.2	1.2	8.1	14	17.5	16	17.5	14.2	7.3	0.8	-2.4	7.8	14.6	-1.6	7.8	17	7.4
1861	-6.7	2.7	5	5.4	10.6	18.8	19.7	18.7	13.7	9.1	4.7	-0.5	8.5	14.5	-2.1	7	19.1	9.2
1862	-3.8	-2.4	5.1	9.3	15.4	16.4	18.3	17.5	14.7	11.1	1.9	-2	8.5	15.3	-2.2	9.9	17.4	9.2
1863	2.6	2.5	5.1	7.9	13.9	17.1	16.9	19.9	14.9	11.9	4.8	1.9	10	15.1	1	9	18	10.5
1864	-6.3	0	4.8	5.1	9.1	17.7	16.4	15.7	13.9	7.7	2	-5	6.8	13	-1.5	6.3	16.6	7.9
1865	-0.6	-6.7	-0.5	9.2	17	14.2	21.5	17.3	14.1	8.9	5.4	0.6	8.5	15.6	-4.1	8.6	17.7	9.5
1866	2.7	2.8	1.9	10.1	11.1	20.2	17.6	17	17.5	6.3	4.1	1.7	9.4	15.6	2	7.7	18.3	9.3
1867	-0.7	3.4	0.7	8.2	11.9	16.5	17.6	18.5	14.2	9	2.1	-3	8.2	14.5	1.5	6.9	17.5	8.4
1868	-2.2	3.1	3.6	8	16.9	18.6	19.5	20.2	16.4	9.9	2.2	3.5	10	16.6	-0.7	9.5	19.4	9.5
1869	-2.5	4.5	1.4	10.6	14.8	14.7	19.7	16.9	15.5	7.4	3.2	0.8	8.9	15.4	1.8	8.9	17.1	8.7
1870	-1.3	-8.8	-0.1	7.3	13.9	15.9	18.9	16.7	12.4	8	5.1	-6.7	6.9	14.2	-3.1	7	17.2	8.5
1871	-7.3	-3.5	4.2	6.3	9.5	14.9	18.7	18.1	13.7	6	1.5	-4.4	6.5	13.5	-5.8	6.7	17.2	7.1
1872	-0.5	-0.4	4.9	10.2	15.8	15.9	18.6	16.5	15.3	11.9	7.4	2	9.8	15.4	-1.8	10.3	17	11.5
1873	2.2	-1.2	4.8	6.7	9.9	16.8	20	19.8	13.4	10.7	5	0.9	9.2	14.4	1	7.1	18.9	9.7
1874	0.2	-0.5	2.2	8.8	9.7	16.8	20.8	16.4	16.8	10.7	0.6	-1.5	8.5	14.9	0.2	6.9	18	9.4
1875	-0.6	-6.7	-1.2	6.6	13.4	19.6	18.5	19.2	13.2	6.4	1.2	-4.2	7.2	15.1	-2.9	6.3	19.1	6.9
1876	-5.2	0.3	4	9.8	9.3	18.3	18.6	18.3	13.6	10.3	0.4	0.2	8.2	14.7	-3	7.7	18.4	8.1
1877	1.8	1.3	1.3	5.9	10.7	19.2	18.4	19.3	11.2	7.2	6.3	-0.5	8.5	14.1	1.1	6	19	8.2
1878	-0.9	1.8	2.6	9.6	13.6	17.4	16.6	18.8	16.1	10.8	4.2	-1.3	9.1	15.4	0.1	8.6	17.6	10.4
1879	-3.3	1	0.8	7.1	12	18	16.6	18.1	15.8	8	0.6	-7.8	7.3	14.6	-1.2	6.6	17.6	8.1
1880	-2.2	-0.4	2.3	10	11.4	17	19.3	17.2	14.6	8.4	4.3	2.9	8.8	14.9	-3.5	7.9	17.8	9.1
1881	-5.8	-1	1.5	4.8	13.5	16.1	19.6	17.5	12.4	5.2	4.7	0.6	7.5	14	-1.3	6.6	17.7	7.4
1882	1	1.8	7.3	8.4	12.5	14.6	19.5	16.2	15.7	8.8	3.7	0.1	9.2	14.5	1.1	9.4	16.8	9.4
1883	-1.3	0.7	-1.9	5.1	12.7	17.1	18.6	16.7	14.3	9.6	4.6	0.2	8.1	14.1	-0.2	5.3	17.5	9.5
1884	2.3	2.6	3.9	5.2	13.4	14.5	19.2	16.5	15.2	7.9	1.1	2.4	8.7	14	1.7	7.5	16.7	8.1
1885	-3.4	2	3.3	10.2	11.7	18.6	18.4	15.4	14	9.1	2.7	-0.2	8.5	14.7	0.3	8.4	17.5	8.6
1886	-1.4	-4.1	-0.9	9.8	14.1	15.7	17.5	17.9	15.9	8.6	5.2	1	8.3	15.2	-1.9	7.7	17	9.9
1887	-3.3	-2	1.5	8.2	12	15.2	20.1	16.9	14.6	6.7	4.8	-0.7	7.9	14.5	-1.4	7.2	17.4	8.7
1888	-3.1	-3.4	1	7.1	13.7	17	17	17	13.8	8	2.5	0.8	7.6	14.3	-2.4	7.3	17	8.1
1889	-4.2	-2.2	-0.4	8.8	18.4	20.5	18.3	17.2	11.4	9.8	3.4	-2	8.3	15.8	-1.9	8.9	18.7	8.2
1890	1.8	-2.5	5.8	8.9	15.6	15	18.1	20.2	13.8	8	3.1	-6.7	8.5	15.3	-0.9	10.1	17.8	8.3
1891	-4.5	-1.5	3.9	6.1	15.4	15.9	17.9	17.3	15.1	11.4	2.9	1.6	8.5	14.6	-4.2	8.5	17	9.8
1892	-2.3	0.7	1.1	7.9	13.5	17.6	18.3	21.3	16.9	8.6	1.7	-1.9	8.6	15.9	0	7.5	19.1	9.1
1893	-9	1.3	4.1	8.3	13.1	17.6	19.5	17.9	13.9	11.6	2.2	1	8.5	15.1	-3.2	8.5	18.3	9.2
1894	-2.3	1.6	4.7	11	13.8	15.3	20.4	17.5	11.8	9.2	4.8	0.5	9.1	15	0.1	9.8	17.7	8.6
1895	-3.3	-6.6	1.4	9.4	14.4	18.1	20.6	18.8	16.1	8.3	4.3	-1	8.5	16.2	-3.1	8.4	19.2	9.6
1896	-2.6	-0.2	5.9	6.2	11.8	18.5	19.4	16.7	14.3	11.1	1.1	-0.5	8.5	14.5	-1.3	8	18.2	8.8
1897	-3.2	0.2	5.9	8.6	13.1	18.5	18.2	19.1	14	8.2	2.3	0.3	8.8	15.3	-1.2	9.2	18.6	8.2
1898	2	2.1	4.9	8.7	14.3	16.9	15.8	19.2	14	8.7	6.2	3.3	9.7	14.8	1.5	9.3	17.3	9.6
1899	2.4	2.1	3.2	8.7	12.8	15.5	18.8	17.3	14.6	9.1	6.8	-4	9	14.6	2.6	8.2	17.2	10.2
1900	-0.6	1.1	0.9	7.5	12.3	17.8	20.3	19	15.2	9.9	6	2.4	9.4	15.4	-1.2	6.9	19	10.4
1901	-3.9	-4.4	2.5	8.8	15.2	18	20.5	18.2	13.8	11.1	3.4	1.9	8.8	15.8	-2	8.8	18.9	9.4
1902	3.4	-0.4	3.3	7.1	10.8	16.6	16.7	16.5	13.2	7.4	0.6	-3.6	7.7	13.5	1.6	7.1	16.6	7.1
1903	-0.4	3.5	6.9	6.6	14.3	16.3	18.3	17.7	14.6	10.5	4.9	-0.6	9.4	14.6	-0.2	9.3	17.4	10
1904	-0.9	1.6	2.8	9.3	12.9	16.9	20.5	18.5	13.9	8.9	3	2.2	9.2	15.3	0	8.3	18.6	8.6
1905	-2.5	1.3	4.8	6.6	14	19.1	19.9	18.7	14.3	5.6	4.2	1.5	9	15.4	0.3	8.5	19.2	8
1906	0.7	1.5	3.1	10.5	15.1	16.2	19.5	17.5	13.4	9.4	7.3	-2.8	9.3	15.4	1.2	9.6	17.7	10
1907	-1.7	-1.8	2.5	6.8	15.7	17.5	16.7	17.6	14	14.5	2.4	0.5	8.8	14.7	-2.1	8.3	17.3	10.3
1908	-1	1.4	3.4	6.7	15.4	18.6	19	16.2	12.8	8.7	0.6	-1.5	8.4	14.8	0.3	8.5	17.9	7.4
1909	-1.7	-3.6	2.1	7.9	11.8	16.5	17.2	18.5	15.1	11.6	2.4	2	8.4	14.5	-2.3	7.3	17.4	9.7
1910	1.4	3.6	3.9	8.5	14.3	18.8	17.6	17.2	12.9	8.8	3	3.1	9.5	14.9	2.3	8.9	17.9	8.2
1911	-0.2	0	4.8	8.6	14.4	16.8	20.3	20.5	15.8	9	5.6	2.3	9.9	16.1	1	9.3	19.2	10.1
1912	-4.3	1.6	6.5	6.9	12.3	17.8	20	16.4	9.6	6.7	2.2	3.5	8.3	13.8	-0.1	8.6	18.1	6.2
1913	-1.3	1.1	6.6	9.2	13.5	16.5	16.2	16.1	13.7	10	6.6	2.6	9.3	14.2	1.1	9.8	16.3	10.1
1914	-3.6	3	5	10.6	13.5	17.1	19.9	19	13.4	8.4	3.6	3.5	9.5	15.6	0.7	9.7	18.7	8.5
1915	0.6	1.3	0	8.5	14.6	19.1	18.2	16.2	12.5	7.3	2	3.4	8.7	14.9	1.8	7.7	17.8	7.3
1916	3.3	0.7	6	9.1	14.4	15.2	18.1	17.1	13	8.9	5.7	3.4	9.6	14.5	2.5	9.8	16.8	9.2
1917	-2.4	-4.7	-0.6	5.3	15	20.6	19	18.8	15.9	9.8	5.3	-1.1	8.5	15.8	-1.2	6.6	19.5	10.3
1918	1.3	1.3	4.2	12.7	14.4	14.8	17.8	17.3	15.4	10.1	3.2	2.5	9.6	15.4	0.5	10.4	16.6	9.6
1919	1.2	0.2	3.7	7.1	10.8	16.4	16.3	17.2	16.7	7.6	-0.5	0.3	8.1	14.1	1.3	7.2	16.6	7.9
1920	1.2	2.6	6.6	12.2	15.7	15.4	20	17.6	14.2	5.7	1	-0.3	9.3	15.9	1.4	11.5	17.7	7
1921	4.6	0.5	7.2	8.8	15.3	15.7	19.8	19.8	14	10.5	0.6	-0.4	9.8	15.6	1.6	10.4	18.4	8.4
1922	-5	-2.5	4	7.7	14.2	17.5	18.5	17.1	12.1	5.4	2.6	2	7.9	14.5	-2.6	8.6	17.7	6.7
1923	1.4	-0.2	4.6	7.2	14.5	13.3	19.5	17	14.9	11.6	3.5	-2	8.8	14.4	1.1	8.8	16.6	10
1924	-4.1	-4.5	1.2	7.2	15.1	17.3	18.4	17.2	15.6	9.7	2.4	0.4	8	15.1	-3.5	7.8	17.6	9.2
1925	2.3	4.5	2.1	8.9	15.7	15.5	19.1	17.5	12.7	9	2.9	0.5	9.3	14.9	2.4	8.9	17.4	8.2
1926	-1.5	3.4	4	10.7	12.9	15.7	19.5	16.5	15.3	8.9	8.2	0.9	9.6	15.1	0.8	9.2	17.2	10.8
1927	1.6	-0.1	7	8	11.6	16.5	19.3	18.1	14.6	9	2.7	-4.3	8.7	14.7	0.8	8.9	18	8.8
1928	0.6	1.4	2	8.6	11.6	15.7	20.5	17.5	14	9.2	7.2	-0.8	9	14.7	-0.8	7.4	17.9	10.1
1929	-6.7	-13	1.1	4.7	15	16.1	19.4	18.3	15.1	10.9	5.3	3	7.6	14.8	-6.8	6.9	17.9	10.4
1930	1.1	-0.1	4.4	9.8	13.2	19.8	18.5	17.1	14.4	9.6	6.3	-0.2	9.5	15.5	1.3	9.1	18.5	10.1
1931	-0.3	-1.1	0.3	6.2	17.3	17.8	19.4	17.5	11.6	7.6	3.9	0.6	8.5	15	-0.5	7.9	18.2	7.7
1932	0.7	-3	0.1	8.8	14.9	15.8	20.8	19.3	17.1	10.1	4.6	0.2	9.2	16.1	-0.6	7.9	18.6	10.6
1933	-5.6	-0.1	4.8	6.6	13.2	16.3	19.9	18.2	14.1	9.8	2.4	-4.7	8	14.7	-1.8	8.2	18.1	8.8
1934	0	1.3	6.2	11.6	15.5	18.5	20.4	18.3	16.3	10.7	5.6	4.5	10.8	16.8	-1.1	11.1	19.1	10.9
1935	-2.2	1.5	1	8.9	12.1	19.4	19	18.7	15.4	9.9	5.7	1	9.2	15.6	1.3	7.3	19	10.3
1936	3.3	-0.5	6	8.1	15	18.1	20.2	17.2	14.2	6.6	4	1.8	9.5	15.5	1.3	9.7	18.5	8.3
1937	-4.1	1.5	4.8	9.2	17.8	19.3	19.6	19.2	15.8	11.1	3.9	-0.6	9.8	16.8	-0.3	10.6	19.4	10.3
1938	0.6	0.9	7.8	6	12.8	18	19.6	20	15.5	10.7	7.7	-1.5	9.9	15.3	0.3	8.9	19.2	11.3
1939	2.2	3.4	1.8	11.2	12	18.5	20.2	20.1	15	7.5	5.5	-1.5	9.7	16.2	1.4	8.3	19.6	9.3
1940	-10.9	-7.9	1.9	9.2	13.4	19	19.7	16.8	14.2	8.6	6.1	-3.2	7.3	15.4	-6.8	8.2	18.5	9.6
1941	-7	-0.3	3.5	6.5	11.2	17.9	20.2	17.8	13	8.3	1.2	1.4	7.9	14.4	-3.5	7.1	18.6	7.5
1942	-8.8	-5.3	-0.5	8	14	16.5	18.8	20.2	17.9	11.9	3.8	2.3	8.3	15.9	-4.2	7.2	18.5	11.2
1943	-1.6	3	6.8	10.6	13.5	16.7	20	20.7	16.3	10.7	4	-0.3	10.1	16.3	1.2	10.3	19.1	10.3
1944	3.4	-0.6	1.1	8.9	13.3	16.8	19.8	20.7	14.5	10.3	4.5	-1.4	9.3	15.7	0.8	7.8	19.1	9.8
1945	-3	3.1	6	9.4	14.8	17.5	19.9	18.9	15.5	9.5	4.5	0.8	9.8	16	-0.4	10.1	18.8	9.8
1946	-2.1	2.1	4.5	10.9	16.7	17.9	20.7	18.2	15.1	5.7	3.4	-3	9.2	16.6	0.3	10.7	18.9	8.1
1947	-6.7	-9.2	3.3	10.8	16.4	19.4	20.2	17.6	17.6	6.2	5.5	1.7	8.7	17	-6.3	10.2	19.1	9.8
1948	2.1	-0.8	4.9	11.8	15	17.4	18.8	18.1	15.7	8.9	4.3	0.2	9.7	16.1	1	10.6	18.1	9.6
1949	0.4	1.5	1	10.1	14.7	15.4	18.8	17.9	15.8	10.5	4.6	3.4	9.6	15.5	0.7	8.6	17.4	10.3
1950	-3.7	2.4	4.9	8.8	15.9	18.8	19.9	19	14.5	8	5	-0.8	9.4	16.2	0.7	9.9	19.2	9.2
1951	0.2	1.7	1.9	8.8	12.6	18.1	19.1	19.7	16.1	7.4	7.2	2.7	9.7	15.7	0.4	7.8	19	10.2
1952	0.7	-0.2	-0.6	11	12.4	16.6	19.7	19.3	11.9	7.5	3.1	-1.1	8.4	15.2	1.1	7.6	18.5	7.5
1953	-0.9	-0.2	3.7	10.4	13.6	19.4	20.9	17.6	14.9	11.3	4.6	0.8	9.7	16.1	-0.7	9.2	19.3	10.3
1954	-6.1	-6.7	3.8	5.7	13.9	18.7	17.4	18.2	15.7	9.8	3.1	3.5	8.2	14.9	-4	7.8	18.1	9.5
1955	-2.7	-2.6	0.2	5.9	12	16.4	19.3	18.3	14.7	8.6	4.1	2.5	8.1	14.4	-0.6	6	18	9.1
1956	0.1	-11.7	1.6	6.3	13.2	16.4	18.5	16.3	14.3	8.8	0.4	1.1	7.2	14.2	-3	7	17.1	7.8
1957	-0.3	3.2	4.9	8.2	11.4	18.9	19.9	16.6	12.8	9.2	5.6	-0.4	9.2	14.6	1.3	8.2	18.5	9.2
1958	-1.4	1.6	-1.4	5.6	15.5	16.3	19.5	17.7	14.2	10.1	4.8	2	8.8	14.8	-0.1	6.6	17.8	9.7
1959	0.3	-2.3	6.3	9.4	13.9	17.7	20.7	18.6	12.3	8	3.7	1.4	9.2	15.4	0	9.9	19	8
1960	-1.8	-1.8	3.7	7.3	13.9	17.7	17.8	17.4	13.4	10.1	6	2.5	8.9	14.6	-0.7	8.3	17.6	9.8
1961	-2.4	3.2	6.6	11.6	11.9	18.1	17.2	17	15.9	11.3	4.1	-2.8	9.3	15.3	1.1	10	17.4	10.4
1962	0.7	-0.6	0	10.8	11.3	16.2	17.2	17.8	13.2	8.3	4.6	-3.5	8	14.4	-0.9	7.4	17.1	8.7
1963	-9.5	-7.6	0.6	9.3	13.8	18	20.1	18.4	15.2	8.9	8	-3.1	7.7	15.8	-6.9	7.9	18.8	10.7
1964	-3.1	-1.4	-1	9.3	14.1	19.2	19.5	16.8	13.7	8	4.8	0.5	8.4	15.4	-2.5	7.5	18.5	8.8
1965	1.1	-3.3	2	7.8	11.5	17.3	17.6	16.6	14.9	7.6	1	2.2	8.1	14.3	-0.6	7.1	17.2	7.8
1966	-4.5	2.1	4	9.8	13.7	18	18.4	17.4	14	12.4	3.7	1.7	9.3	15.2	-0.1	9.2	17.9	10
1967	-0.7	2.3	6.4	8	14	17	19.9	17.9	16.2	12.3	4.6	0.4	9.9	15.5	1.1	9.5	18.3	11
1968	-1.4	1.1	4.6	9.8	12.2	18.1	18.1	17.7	14.6	9.4	5	-2.8	8.9	15.1	0	8.9	18	9.7
1969	-3.3	-1.2	-0.4	7.8	14.9	17.2	19.8	17.3	14.6	9.6	6.1	-5.8	8.1	15.3	-2.4	7.4	18.1	10.1
1970	-4.4	-2	1	7.7	12.6	18	18.8	17.7	13.3	9.2	5.8	1.1	8.3	14.7	-4.1	7.1	18.2	9.4
1971	-4.1	1.7	0.7	8.8	15.6	16.3	19	19.7	12.2	9	3.9	4	8.9	15.3	-0.4	8.4	18.3	8.4
1972	-3.3	1.9	5.9	8.5	13.5	17.1	20.1	17.2	11.8	6.6	5.5	-0.2	8.7	14.7	0.9	9.3	18.1	8
1973	-0.5	2.2	4.9	6.7	13.4	16.9	18.8	18.4	15.2	7.8	3.2	0.3	9	14.9	0.5	8.3	18	8.7
1974	2.2	3.1	6.4	8.4	12.1	15.5	17.4	18.9	14	6.6	4.5	4.2	9.5	14.4	1.9	9	17.3	8.4
1975	4.2	0.4	4.8	8	14.3	16.8	19.5	19	17.2	8.5	2.9	2	9.9	15.8	2.9	9	18.4	9.5
1976	0.1	-0.7	0.9	7.9	13.4	17	19.5	16.2	13.3	9.7	5.7	-0.6	8.6	14.6	0.5	7.4	17.6	9.6
1977	-0.4	2.1	7	6.9	13	17.9	17.6	17.2	12.3	9.9	6	0.9	9.2	14.2	0.4	9	17.6	9.4
